first_name,last_name,degree
Luca,Bianchi,management_engineering
Giulia,Rossi,management_engineering
Marco,Verdi,management_engineering
Sara,Conti,management_engineering
Paolo,Greco,management_engineering
Elisa,Moretti,management_engineering
Davide,Ferrari,management_engineering
Marta,Esposito,management_engineering
Alessio,Ricci,management_engineering
Chiara,Galli,management_engineering
Giorgio,Barbieri,management_engineering
Ilaria,Fontana,management_engineering
Stefano,Colombo,management_engineering
Francesca,De Angelis,management_engineering
Valentina,Pellegrini,management_engineering
Riccardo,Mancini,computer_engineering
Federica,Lombardi,computer_engineering
Matteo,Gatti,computer_engineering
Antonio,De Luca,computer_engineering
Beatrice,Farina,computer_engineering
Nicola,Serra,computer_engineering
Alberto,Marini,computer_engineering
Eleonora,Riva,computer_engineering
Simone,Piras,computer_engineering
Andrea,Palumbo,artificial_intelligence_robotics
Laura,Romani,artificial_intelligence_robotics
Claudio,Russo,artificial_intelligence_robotics
Michela,Villa,artificial_intelligence_robotics
Danilo,Martini,artificial_intelligence_robotics
Silvia,Beretta,artificial_intelligence_robotics
Fabio,Caruso,artificial_intelligence_robotics
Elena,Fiore,artificial_intelligence_robotics
Tommaso,Parisi,artificial_intelligence_robotics
Caterina,Grimaldi,artificial_intelligence_robotics
Vincenzo,Testa,artificial_intelligence_robotics
Cristina,Serafini,artificial_intelligence_robotics

Franco,Pugliese,control_engineering
Lucia,D’Amico,control_engineering
Alessandro,Riva,control_engineering
Patrizia,De Santis,control_engineering
Sandro,Leone,control_engineering
Anna,Basile,control_engineering
Carlo,Valenti,control_engineering
Martina,Longo,control_engineering
Mauro,Bianco,control_engineering
Clara,Monti,control_engineering
Filippo,Bruno,control_engineering
Teresa,Caprioli,control_engineering
Rosa,Amato,data_science
Diego,Carli,data_science
Sofia,Landi,data_science
Gabriele,Ferri,data_science
Angela,De Angelis,data_science
Federico,Bellini,data_science
Pietro,Ruggieri,data_science
Lorenzo,Greco,data_science
Chiara,Marchetti,data_science
Mario,Palumbo,data_science
Stefania,Rizzi,engineering_computer_science
Massimo,Pagani,engineering_computer_science
Gabriella,Sala,engineering_computer_science
Cristian,Bertelli,engineering_computer_science
Gianni,Coppola,engineering_computer_science
Paola,Cattaneo,engineering_computer_science
Enrico,Orlando,engineering_computer_science
Adriana,Fabbri,engineering_computer_science
Samuele,Gentile,engineering_computer_science
Eleonora,Martelli,engineering_computer_science
Francesco,Rizzo,engineering_management
Serena,Morelli,engineering_management
Matilde,Giordano,engineering_management
